date,bun,beef_patty,cheese,lettuce,onions,cucumber,actual_price,bun_weighted,beef_patty_weighted,cheese_weighted,lettuce_weighted,cucumber_weighted,onions_weighted,total_cost,total_cost_change,actual_price_change,inflation,change_gdp,spy
2000,0.9301666666666667,1.569416666666667,3.829916666666667,0.7359166666666667,0.09999999999999999,0.93,2.51,0.15161716666666666,0.31074450000000003,0.11489750000000001,0.04562683333333333,0.01395,0.0014999999999999998,0.6383359999999999,,,0.0337685727149935,0.054097561364861546,-0.06668114682884449
2001,0.9990833333333334,1.7141666666666666,4.026916666666667,0.7928333333333333,0.09553571428571428,0.95,2.54,0.16285058333333335,0.339405,0.1208075,0.04915566666666666,0.014249999999999999,0.0014330357142857142,0.6879017857142857,0.07764842608639633,0.01195219123505975,0.0282617111885402,0.021533778521205527,-0.08758452217816022
2002,1.0155833333333333,1.71275,4.218083333333333,0.8611666666666666,0.10803571428571428,0.98,2.49,0.16554008333333334,0.3391245,0.1265425,0.05339233333333333,0.0147,0.0016205357142857141,0.7009199523809524,0.018924455404849994,-0.019685039370078705,0.0158603162650603,0.037612618211307014,-0.22300323168315134
2003,1.00075,1.9504166666666667,3.9484166666666667,0.823,0.12232142857142857,0.97,2.71,0.16312225000000002,0.38618250000000004,0.1184525,0.051025999999999995,0.014549999999999999,0.0018348214285714285,0.7351680714285714,0.04886166948348625,0.08835341365461846,0.0227009497336113,0.06425939568589345,0.259543658119717
2004,0.9694166666666666,2.1591666666666667,4.272916666666666,0.7978333333333333,0.08089285714285714,0.99,2.9,0.15801491666666667,0.42751500000000003,0.12818749999999998,0.049465666666666665,0.014849999999999999,0.0012133928571428571,0.7792464761904763,0.05995690846074431,0.07011070110701101,0.0267723669309173,0.06413226240660852,0.09870857016000782
2005,1.0403333333333333,2.2964166666666666,4.3815,0.8701666666666666,0.12053571428571429,0.94,3.06,0.16957433333333333,0.4546905,0.131445,0.05395033333333333,0.014099999999999998,0.0018080357142857143,0.8255682023809524,0.05944425493834826,0.05517241379310356,0.0339274684549547,0.0636206901231191,0.04303582958338098
2006,1.0805,2.2211666666666665,4.254833333333333,0.8654999999999999,0.14375000000000002,1.03,3.125,0.17612150000000001,0.439791,0.12764499999999998,0.05366099999999999,0.01545,0.00215625,0.8148247499999999,-0.01301340379870286,0.0212418300653594,0.0322594410070407,0.05368846048889675,0.1459120024563228
2007,1.2073333333333334,2.2992500000000002,4.229916666666667,0.9283333333333333,0.09910714285714285,1.06,3.3150000000000004,0.19679533333333335,0.4552515000000001,0.1268975,0.057556666666666666,0.0159,0.0014866071428571428,0.8538876071428573,0.04794019467726951,0.06080000000000019,0.0285267248150136,0.04811390100544477,0.05008175940330833
2008,1.3664166666666666,2.3433333333333333,4.725333333333333,0.9053333333333334,0.10625,1.09,3.57,0.22272591666666666,0.46398,0.14176,0.056130666666666676,0.01635,0.00159375,0.9025403333333333,0.056977904098257204,0.07692307692307665,0.0383910029665101,0.012500188582335037,-0.36773701603084846
2009,1.3874166666666667,2.220666666666667,4.66875,0.9133333333333334,0.13392857142857142,1.14,3.57,0.2261489166666667,0.439692,0.1400625,0.05662666666666667,0.017099999999999997,0.0020089285714285712,0.881639011904762,-0.023158323962516825,0.0,-0.0035554626629975,-0.016628701028840953,0.25542576480117424
2010,1.3733333333333333,2.3659166666666667,4.7097500000000005,0.8746666666666667,0.1392857142857143,1.16,3.6566666665,0.22385333333333335,0.4684515,0.14129250000000002,0.05422933333333334,0.0174,0.002089285714285714,0.9073159523809524,0.02912409742476796,0.0242763771708685,0.0164004344238989,0.04492607046171093,0.12877769110620335
2011,1.4446666666666665,2.7748333333333335,5.41875,0.9888333333333333,0.09732142857142857,1.1,4.065,0.23548066666666664,0.549417,0.1625625,0.06130766666666667,0.0165,0.0014598214285714286,1.0267276547619049,0.1316098345538792,0.11166818601238249,0.031568415686220604,0.03480172502367984,0.0050119721408737085
2012,1.4176666666666666,2.7769166666666667,5.625416666666666,0.8570000000000001,0.12678571428571428,1.14,4.262359999999999,0.23107966666666666,0.5498295000000001,0.16876249999999998,0.05313400000000001,0.017099999999999997,0.0019017857142857141,1.0218074523809524,-0.00479212024545439,0.04855104551045475,0.020693372652605898,0.036492188902004896,0.11873183094392128
2013,1.4066666666666665,3.401666666666667,5.5575,1.0146363636363636,0.13392857142857142,1.09,4.46203125,0.22928666666666664,0.6735300000000001,0.16672499999999998,0.06290745454545454,0.01635,0.0020089285714285712,1.1508080497835498,0.12624746188923197,0.04684523362644177,0.0146483265562714,0.04340506977119807,0.27610037928207887
2014,1.4012499999999999,3.8973333333333335,5.542666666666666,1.05275,0.12142857142857143,1.13,4.7095833334999995,0.22840375,0.771672,0.16627999999999998,0.06527050000000001,0.016949999999999996,0.0018214285714285713,1.2503976785714286,0.08653887049765618,0.055479683944391844,0.016222229774082098,0.04199038190021964,0.1408921926557627
2015,1.441,4.166833333333334,5.379166666666666,1.1615,0.13839285714285715,1.15,4.79,0.234883,0.8250330000000001,0.161375,0.072013,0.017249999999999998,0.0020758928571428573,1.312629892857143,0.04976993747846237,0.01707511276591811,0.00118627135552435,0.026861107719125643,0.008374996450227708
2016,1.3712499999999999,3.750083333333333,5.23475,1.0635833333333333,0.12232142857142857,1.16,4.984999999999999,0.22351374999999998,0.7425164999999999,0.1570425,0.06594216666666666,0.0174,0.0018348214285714285,1.2082497380952382,-0.07951986719935589,0.040709812108559396,0.012615832057053699,0.034691209873140894,0.1321315573646421
2017,1.3325833333333332,3.6430000000000002,4.895416666666667,1.0293333333333334,0.11517857142857144,1.18,5.18,0.21721108333333333,0.7213140000000001,0.1468625,0.06381866666666668,0.017699999999999997,0.0017276785714285714,1.168633928571429,-0.032787765868885765,0.03911735205616851,0.021301100036596302,0.048235028593622165,0.19952645138425049
2018,1.2859999999999998,3.7153333333333336,5.135000000000001,0.944,0.11160714285714286,1.18,5.395,0.20961799999999997,0.7356360000000001,0.15405000000000002,0.058528,0.017699999999999997,0.001674107142857143,1.1772061071428572,0.007335212817162651,0.04150579150579148,0.024425832969281802,0.04679181399756027,-0.06436047811482165
2019,1.2976666666666665,3.8064999999999998,5.3077499999999995,1.1843333333333332,0.13035714285714287,1.19,5.66,0.21151966666666666,0.753687,0.15923249999999997,0.07342866666666666,0.017849999999999998,0.001955357142857143,1.2176731904761904,0.03437552955917722,0.04911955514365163,0.0181221007526015,0.04233504257488874,0.30973778767967075
2020,1.4516666666666669,4.1154166666666665,5.496333333333333,1.2945,0.11875000000000001,1.2,5.6899999999999995,0.2366216666666667,0.8148525,0.16488999999999998,0.080259,0.018,0.00178125,1.3164044166666669,0.0810818756318894,0.005300353356890275,0.012335843963063699,-0.009822370303051553,0.16162839140580035
